YYYY,MM,DD,Northing,Easting,Mag,
1997,1,31,28.015,85.301,5,
1997,1,31,28.078,85.286,5.8,
1997,1,5,29.785,80.588,5.6,
1997,1,1,27.005,86.561,4.5,
1996,12,29,29.75,81.828,5.2,
1996,12,22,29.012,81.726,4.4,
1996,12,3,27.39,86.842,5.3,
1996,11,8,29.667,81.699,4.9,
1996,11,4,29.63,81.859,4.9,
1996,10,16,28.778,79.951,4.4,
1996,7,10,29.616,81.981,4.6,
1996,4,26,27.935,87.705,5.3,
1996,2,28,27.122,86.766,4.8,
1995,10,4,28.27,84.44,4.7,
1995,8,7,29.88,81.63,5,
1995,8,7,25.75,86.24,4.5,
1995,8,3,30.04,81.54,4.8,
1995,6,21,21.81,85.27,6,
1995,6,11,27.22,87.95,4.2,
1995,4,17,29.51,81.71,4.7,
1995,2,18,27.74,85.88,4.6,
1995,1,30,29.38,82.3,4.2,
1995,1,30,29.32,82.19,4.3,
1995,1,29,26.85,86.11,4.5,
1995,1,19,28.35,83.44,4.3,
1994,12,13,28.7,82.88,4.6,
1994,12,12,29.84,80.69,4.6,
1994,11,27,29.72,81.56,4.5,
1994,11,21,29.54,81.15,4.2,
1994,10,24,28.92,82,4.7,
1994,10,22,29,82.26,4.6,
1994,9,25,28.34,87.35,4.8,
1994,8,31,26.09,79.51,6,
1994,7,17,29.37,81.52,5.5,
1994,6,25,27.75,86.16,5.1,
